Index,US,CA,GB,DE,FR,IT,AU,JP,IN
2002/01/01,76294,21864,28790,11177,9751,4597,30578,109993,12665
2002/02/01,58438,17663,27639,10491,8686,3655,19491,93815,8507
2002/03/01,93484,25826,40683,16763,11518,5271,30137,129040,12546
2002/04/01,92560,24541,35179,17887,16284,9197,30754,107378,20290
2002/05/01,81826,21020,26774,13878,12279,5233,29170,114744,18003
2002/06/01,85601,17764,23832,11513,10775,5002,27027,108850,18922
2002/07/01,84516,20651,26829,11715,12040,5472,26216,110209,16896
2002/08/01,75714,19040,26495,11974,13154,7139,23993,121978,15776
2002/09/01,72027,17065,29119,15537,10388,5580,30156,130013,18193
2002/10/01,104180,26673,41207,22414,17506,9215,32767,109610,21462
2002/11/01,95803,28147,41259,17921,13642,6730,29395,131023,15308
2002/12/01,80401,24713,32159,11384,10691,4878,33610,128367,15137
2003/01/01,80860,22613,32237,11184,10277,4949,33734,123019,15392
2003/02/01,61444,18756,29960,11038,9933,5454,23513,99453,12637
2003/03/01,70274,21823,36492,16003,9554,5317,26288,102959,14970
2003/04/01,13276,5351,5901,2247,1361,529,5577,15546,6674
2003/05/01,8766,3958,3369,1283,1118,420,4301,10918,6091
2003/06/01,20262,6945,9343,3124,3177,1463,9351,21088,10658
2003/07/01,49302,13251,18192,7251,6737,3970,18267,59442,15876
2003/08/01,67804,15081,20828,9431,7805,4014,18919,77871,15954
2003/09/01,71877,15052,25333,11782,9001,4699,28201,94964,19667
2003/10/01,88143,20622,35502,17885,14659,8528,30063,81911,23575
2003/11/01,81385,20671,35547,15336,11967,6654,27044,86170,18579
2003/12/01,70398,22686,28614,10402,10255,4759,28996,93819,18057
2004/01/01,63632,18483,25229,8716,7848,3736,29411,68062,14762
2004/02/01,69411,17834,35097,12866,9973,5191,26341,69725,16554
2004/03/01,86238,22495,43390,15278,10645,7234,30827,82260,19780
2004/04/01,89248,21858,35497,16094,14169,7954,33259,82091,25416
2004/05/01,80577,21350,28997,12604,10699,6015,31008,86365,21300
2004/06/01,93187,20408,26972,11279,10385,5419,34999,88358,22544
2004/07/01,96569,22860,30903,11900,13627,5873,34627,98811,21310
2004/08/01,83880,22023,30505,13052,14606,7025,28247,103276,19889
2004/09/01,83259,18363,29602,14109,10781,6012,37291,115749,20023
2004/10/01,114520,29069,45487,22453,19178,10626,40748,98557,24764
2004/11/01,102524,30067,44267,18568,14395,8239,38102,109364,18251
2004/12/01,88651,29115,35341,12742,11825,5692,44080,123632,19771
2005/01/01,89162,25621,39292,13921,11926,6407,44171,115957,19491
2005/02/01,66728,19333,32350,11658,9873,4664,28694,89686,13593
2005/03/01,104864,29124,48773,19017,13788,7625,41972,111183,21961
2005/04/01,102253,26206,42371,21023,19273,11208,44119,86179,29029
2005/05/01,91564,24662,32204,15987,16808,7291,39822,87988,22882
2005/06/01,99782,20063,30396,14039,14163,6960,47412,90343,27310
2005/07/01,100335,24784,34089,14740,16045,7586,46414,92029,22038
2005/08/01,87455,23189,34031,15158,18005,9955,39951,98053,21097
2005/09/01,87126,20031,34931,17561,14866,7413,49662,113458,23883
2005/10/01,113382,31092,50028,25464,21004,12518,49482,94237,28203
2005/11/01,109339,33325,47097,21276,16138,9295,43546,115049,20507
2005/12/01,91099,31412,39039,14781,13712,7004,50332,116686,23493
2006/01/01,84685,26049,38689,13582,12282,6797,48817,101602,19725
2006/02/01,72779,22309,41460,13898,12710,6110,35067,96283,15542
2006/03/01,106548,31849,51059,20853,15851,9795,44026,122773,24332
2006/04/01,105057,28788,47601,21487,20181,10451,51793,90793,29932
2006/05/01,92703,26268,34785,17042,16715,8453,42239,108542,28583
2006/06/01,102484,21046,30895,14432,13265,7657,48081,105770,27317
2006/07/01,101753,28506,35205,13884,16962,7804,46913,101269,23744
2006/08/01,86872,25586,37240,15733,20345,10597,39952,118692,22476
2006/09/01,87775,21037,38076,17889,15352,8873,52498,116977,27527
2006/10/01,116104,33134,55525,25661,23063,13372,55218,100137,27540
2006/11/01,108333,36748,56107,22243,18497,10255,46420,124450,23284
2006/12/01,93932,34377,49853,17133,15597,8210,52909,123823,24077
2007/01/01,93897,29852,49015,16719,15379,8488,54233,117870,22902
2007/02/01,68538,24037,41763,14769,12841,5851,31854,93745,14665
2007/03/01,115014,34612,66356,24377,19373,11520,52490,125723,25288
2007/04/01,111047,32718,54491,22968,22862,12096,54840,93085,32279
2007/05/01,96659,29435,43362,17896,17694,8876,49103,104286,32327
2007/06/01,103999,23700,38034,16178,16037,9099,53834,107841,32857
2007/07/01,105823,33702,43924,15851,20173,8405,52165,102294,25341
2007/08/01,88766,31034,45846,16451,23364,11443,46126,114216,24385
2007/09/01,90705,26547,44284,18963,17253,9081,61168,117006,26792
2007/10/01,129451,42018,62480,27631,25804,14127,64277,102287,31557
2007/11/01,121559,45148,61257,24627,21907,11344,52490,120581,24224
2007/12/01,105469,42364,50356,18333,18404,8511,61019,125402,24893
2008/01/01,104025,36905,52452,19192,18655,9585,62766,116992,25962
2008/02/01,75997,29465,53836,16479,16119,6412,41011,94238,16246
2008/03/01,118278,41509,70102,24429,21275,11218,57275,114169,28785
2008/04/01,112075,34099,54453,23345,23517,12865,59783,93639,33466
2008/05/01,95670,31250,39388,17304,19992,8208,52177,106121,42740
2008/06/01,96020,24053,33245,13741,16941,8197,50554,107688,43977
2008/07/01,92869,29187,37114,15629,17918,8035,50642,105877,26079
