Index,US.1,US.2,US.3,US.4,CA.1,CA.2,CA.3,CA.4,GB.1,GB.2,GB.3,GB.4,DE.1,DE.2,DE.3,DE.4,FR.1,FR.2,FR.3,FR.4,IT.1,IT.2,IT.3,IT.4,AU.1,AU.2,AU.3,AU.4,JP.1,JP.2,JP.3,JP.4,IN.1,IN.2,IN.3,IN.4
2004/01/01,0,8,0,24,0,14,21,45,0,-35,-16,-11,0,45,48,58,0,-25,-21,-19,0,0,0,0,0,25,6,2,0,-2,-8,10,0,0,0,0
2004/02/01,16,12,20,20,45,17,66,31,-17,-23,-10,-19,91,39,82,112,-15,-10,-21,-21,-100,-100,-100,-100,-19,-26,2,-6,-2,12,-2,-6,0,0,0,0
2004/03/01,52,44,20,24,59,55,66,79,-28,-16,-5,-20,30,30,58,-15,-100,-100,-100,-100,-100,-100,-100,-100,-8,-17,-25,-15,60,15,62,27,0,0,2,6
2004/04/01,12,40,44,28,10,62,59,31,-12,-23,-17,-35,106,118,64,76,-12,-8,-4,-2,-100,-100,-100,-100,-34,-47,-6,-9,10,92,13,31,9,4,4,-9
2004/05/01,40,48,0,32,14,14,14,14,-26,-35,-28,-37,76,136,48,58,-35,-2,29,-23,-100,-100,-100,-100,-17,-23,4,2,46,10,-21,21,-9,-26,-100,-100
2004/06/01,40,32,24,20,0,62,38,-10,-23,-42,-19,-23,124,-6,64,112,-23,-23,-27,-31,-100,-100,-100,-100,-8,-32,-23,-4,19,19,6,-2,-100,-100,-4,-34
2004/07/01,24,52,44,20,10,3,28,45,-5,-30,-25,-19,115,61,109,82,-31,-25,-19,-15,-100,-100,-100,-100,0,-15,-11,-23,2,62,8,38,-34,-30,-19,-11
2004/08/01,28,28,28,24,-7,45,34,38,-15,-11,-21,-16,106,33,103,73,-8,-21,-21,-10,-100,-100,-100,-100,8,-6,-9,4,25,52,19,12,-30,-4,-15,-19
2004/09/01,44,32,44,40,86,52,34,38,2,7,-12,-6,106,124,76,130,-6,-21,8,-8,-19,-19,9,-17,2,11,-2,4,29,29,37,15,-38,-38,-36,-23
2004/10/01,56,52,48,24,21,34,59,7,-9,23,-10,-11,79,109,91,142,-21,4,6,-29,-26,-25,-22,-21,0,25,-4,-6,38,42,38,6,-11,-100,-100,-100
2004/11/01,68,44,24,36,97,-3,10,34,-6,-6,-2,-26,139,121,112,136,-29,-21,-12,-46,-5,2,9,16,6,4,-8,23,31,40,12,10,-100,-100,-21,-6
2004/12/01,12,48,40,44,17,17,28,69,-20,-15,-7,-15,155,48,106,45,-35,-48,-48,-21,23,-26,-26,-17,8,21,-9,25,10,38,52,8,-13,0,-17,-17
2005/01/01,52,40,24,36,-7,48,66,62,-22,-2,7,-17,124,103,148,45,6,0,-27,-46,-10,0,-42,-22,25,2,38,6,19,15,4,10,-17,-38,-23,-34
2005/02/01,36,40,44,44,62,55,31,52,-1,1,-5,-17,115,158,76,64,-40,-23,-29,-31,-30,-30,-2,-25,30,26,26,53,15,10,17,25,-36,-21,-2,-34
2005/03/01,44,52,36,32,31,76,31,59,-16,-2,-15,-12,112,103,173,152,38,-17,-33,-21,-20,-35,-19,-1,26,15,6,0,27,48,23,48,-11,-23,-23,-28
2005/04/01,64,52,28,24,-24,72,55,48,-26,-30,-21,-28,42,127,103,118,-50,-10,-17,-33,-40,-40,-51,-35,28,34,28,23,56,23,6,31,19,0,-55,-55
2005/05/01,44,36,32,24,62,21,83,24,-26,-20,-19,-16,97,112,82,148,-40,-52,-15,-50,-19,-32,-32,-32,15,19,9,60,65,8,25,4,-28,-43,-6,-45
2005/06/01,32,32,48,52,69,48,38,52,-26,-23,-32,-28,33,70,82,58,-42,-42,-27,-50,-52,-42,-51,-43,13,23,42,32,19,21,35,17,-38,-23,-30,-53
2005/07/01,36,24,32,40,66,14,62,52,-31,-32,-33,-23,55,61,124,121,-40,-50,-40,-6,-32,-5,-26,-31,28,30,15,11,15,17,21,13,-4,-36,-36,-43
