Category: Trucks & SUVs

Week,Geo: United States
2014-03-02,67
2014-03-09,63
2014-03-16,64
2014-03-23,65
2014-03-30,63
2014-04-06,63
2014-04-13,64
2014-04-20,64
2014-04-27,64
2014-05-04,60
2014-05-11,61
2014-05-18,61
2014-05-25,59
2014-06-01,61
2014-06-08,60
2014-06-15,60
2014-06-22,62
2014-06-29,59
2014-07-06,63
2014-07-13,65
2014-07-20,67
2014-07-27,69
2014-08-03,65
2014-08-10,67
2014-08-17,66
2014-08-24,63
2014-08-31,60
2014-09-07,59
2014-09-14,60
2014-09-21,59
2014-09-28,60
2014-10-05,59
2014-10-12,58
2014-10-19,59
2014-10-26,59
2014-11-02,57
2014-11-09,58
2014-11-16,60
2014-11-23,54
2014-11-30,57
2014-12-07,57
2014-12-14,57
2014-12-21,56
2014-12-28,59
2015-01-04,58
2015-01-11,63
2015-01-18,58
2015-01-25,61
2015-02-01,65
2015-02-08,63
2015-02-15,63
2015-02-22,62
2015-03-01,62
2015-03-08,61
2015-03-15,60
2015-03-22,59
2015-03-29,59
2015-04-05,60
2015-04-12,57
2015-04-19,60
2015-04-26,57
2015-05-03,56
2015-05-10,58
2015-05-17,57
2015-05-24,58
2015-05-31,59
2015-06-07,58
2015-06-14,58
2015-06-21,61
2015-06-28,60
2015-07-05,62
2015-07-12,63
2015-07-19,63
2015-07-26,65
2015-08-02,62
2015-08-09,63
2015-08-16,63
2015-08-23,60
2015-08-30,58
2015-09-06,57
2015-09-13,56
2015-09-20,57
2015-09-27,56
2015-10-04,55
2015-10-11,56
2015-10-18,55
2015-10-25,55
2015-11-01,55
2015-11-08,55
2015-11-15,54
2015-11-22,51
2015-11-29,54
2015-12-06,54
2015-12-13,57
2015-12-20,54
2015-12-27,63
2016-01-03,75
2016-01-10,76
2016-01-17,80
2016-01-24,83
2016-01-31,79
2016-02-07,82
2016-02-14,83
2016-02-21,86
2016-02-28,81
2016-03-06,82
2016-03-13,81
2016-03-20,82
2016-03-27,82
2016-04-03,79
2016-04-10,79
2016-04-17,78
2016-04-24,79
2016-05-01,79
2016-05-08,79
2016-05-15,81
2016-05-22,81
2016-05-29,79
2016-06-05,80
2016-06-12,80
2016-06-19,83
2016-06-26,83
2016-07-03,82
2016-07-10,88
2016-07-17,88
2016-07-24,90
2016-07-31,87
2016-08-07,86
2016-08-14,88
2016-08-21,88
2016-08-28,85
2016-09-04,84
2016-09-11,85
2016-09-18,82
2016-09-25,82
2016-10-02,80
2016-10-09,81
2016-10-16,80
2016-10-23,79
2016-10-30,79
2016-11-06,70
2016-11-13,80
2016-11-20,78
2016-11-27,79
2016-12-04,83
2016-12-11,84
2016-12-18,83
2016-12-25,86
2017-01-01,82
2017-01-08,82
2017-01-15,82
2017-01-22,83
2017-01-29,83
2017-02-05,83
2017-02-12,83
2017-02-19,86
2017-02-26,91
2017-03-05,85
2017-03-12,86
2017-03-19,86
2017-03-26,87
2017-04-02,84
2017-04-09,85
2017-04-16,84
2017-04-23,83
2017-04-30,83
2017-05-07,81
2017-05-14,83
2017-05-21,87
2017-05-28,90
2017-06-04,84
2017-06-11,87
2017-06-18,94
2017-06-25,92
2017-07-02,88
2017-07-09,92
2017-07-16,95
2017-07-23,95
2017-07-30,97
2017-08-06,96
2017-08-13,93
2017-08-20,88
2017-08-27,90
2017-09-03,85
2017-09-10,86
2017-09-17,87
2017-09-24,85
2017-10-01,85
2017-10-08,87
2017-10-15,87
2017-10-22,88
2017-10-29,85
2017-11-05,85
2017-11-12,84
2017-11-19,81
2017-11-26,83
2017-12-03,85
2017-12-10,86
2017-12-17,89
2017-12-24,91
2017-12-31,85
2018-01-07,86
2018-01-14,87
2018-01-21,87
2018-01-28,84
2018-02-04,87
2018-02-11,87
2018-02-18,92
2018-02-25,92
2018-03-04,91
2018-03-11,91
2018-03-18,90
2018-03-25,94
2018-04-01,90
2018-04-08,87
2018-04-15,91
2018-04-22,88
2018-04-29,89
2018-05-06,87
2018-05-13,86
2018-05-20,87
2018-05-27,87
2018-06-03,88
2018-06-10,89
2018-06-17,88
2018-06-24,89
2018-07-01,88
2018-07-08,93
2018-07-15,95
2018-07-22,95
2018-07-29,100
2018-08-05,95
2018-08-12,97
2018-08-19,93
2018-08-26,88
2018-09-02,85
2018-09-09,83
2018-09-16,83
2018-09-23,82
2018-09-30,82
2018-10-07,80
2018-10-14,81
2018-10-21,79
2018-10-28,81
2018-11-04,82
2018-11-11,82
2018-11-18,83
2018-11-25,82
2018-12-02,86
2018-12-09,87
2018-12-16,87
2018-12-23,87
2018-12-30,84
2019-01-06,83
2019-01-13,89
2019-01-20,87
2019-01-27,86
2019-02-03,88
2019-02-10,90
2019-02-17,93
2019-02-24,91
