Week,Geo: United States
1/4/04,90
1/11/04,92
1/18/04,85
1/25/04,90
2/1/04,86
2/8/04,82
2/15/04,84
2/22/04,88
2/29/04,89
3/7/04,80
3/14/04,83
3/21/04,75
3/28/04,81
4/4/04,90
4/11/04,87
4/18/04,83
4/25/04,85
5/2/04,87
5/9/04,83
5/16/04,87
5/23/04,87
5/30/04,84
6/6/04,89
6/13/04,90
6/20/04,87
6/27/04,95
7/4/04,82
7/11/04,100
7/18/04,95
7/25/04,98
8/1/04,99
8/8/04,94
8/15/04,98
8/22/04,90
8/29/04,90
9/5/04,85
9/12/04,81
9/19/04,84
9/26/04,79
10/3/04,80
10/10/04,72
10/17/04,78
10/24/04,77
10/31/04,79
11/7/04,69
11/14/04,73
11/21/04,59
11/28/04,74
12/5/04,78
12/12/04,82
12/19/04,68
12/26/04,77
1/2/05,88
1/9/05,89
1/16/05,79
1/23/05,80
1/30/05,80
2/6/05,81
2/13/05,80
2/20/05,80
2/27/05,82
3/6/05,78
3/13/05,76
3/20/05,82
3/27/05,80
4/3/05,71
4/10/05,75
4/17/05,76
4/24/05,79
5/1/05,81
5/8/05,76
5/15/05,82
5/22/05,80
5/29/05,77
6/5/05,78
6/12/05,82
6/19/05,87
6/26/05,85
7/3/05,77
7/10/05,90
7/17/05,89
7/24/05,88
7/31/05,90
8/7/05,88
8/14/05,93
8/21/05,84
8/28/05,85
9/4/05,77
9/11/05,79
9/18/05,78
9/25/05,80
10/2/05,76
10/9/05,74
10/16/05,68
10/23/05,70
10/30/05,75
11/6/05,65
11/13/05,70
11/20/05,54
11/27/05,72
12/4/05,68
12/11/05,67
12/18/05,66
12/25/05,68
1/1/06,78
1/8/06,77
1/15/06,75
1/22/06,77
1/29/06,75
2/5/06,71
2/12/06,69
2/19/06,73
2/26/06,75
3/5/06,70
3/12/06,73
3/19/06,71
3/26/06,73
4/2/06,73
4/9/06,75
4/16/06,76
4/23/06,76
4/30/06,76
5/7/06,74
5/14/06,73
5/21/06,74
5/28/06,69
6/4/06,77
6/11/06,78
6/18/06,76
6/25/06,85
7/2/06,74
7/9/06,86
7/16/06,81
7/23/06,85
7/30/06,87
