Week,Geo: United States
3/2/14,76
3/9/14,79
3/16/14,76
3/23/14,73
3/30/14,75
4/6/14,70
4/13/14,74
4/20/14,72
4/27/14,72
5/4/14,69
5/11/14,69
5/18/14,67
5/25/14,64
6/1/14,72
6/8/14,67
6/15/14,68
6/22/14,67
6/29/14,61
7/6/14,70
7/13/14,73
7/20/14,71
7/27/14,74
8/3/14,73
8/10/14,71
8/17/14,72
8/24/14,71
8/31/14,64
9/7/14,68
9/14/14,66
9/21/14,65
9/28/14,68
10/5/14,66
10/12/14,61
10/19/14,63
10/26/14,61
11/2/14,62
11/9/14,61
11/16/14,63
11/23/14,49
11/30/14,64
12/7/14,59
12/14/14,58
12/21/14,47
12/28/14,60
1/4/15,66
1/11/15,63
1/18/15,60
1/25/15,62
2/1/15,66
2/8/15,65
2/15/15,65
2/22/15,64
3/1/15,64
3/8/15,63
3/15/15,60
3/22/15,59
3/29/15,64
4/5/15,62
4/12/15,60
4/19/15,60
4/26/15,64
5/3/15,61
5/10/15,59
5/17/15,60
5/24/15,56
5/31/15,65
6/7/15,62
6/14/15,60
6/21/15,63
6/28/15,62
7/5/15,65
7/12/15,66
7/19/15,65
7/26/15,66
8/2/15,65
8/9/15,65
8/16/15,64
8/23/15,62
8/30/15,63
9/6/15,56
9/13/15,58
9/20/15,58
9/27/15,58
10/4/15,58
10/11/15,54
10/18/15,56
10/25/15,58
11/1/15,59
11/8/15,55
11/15/15,56
11/22/15,44
11/29/15,58
12/6/15,55
12/13/15,55
12/20/15,45
12/27/15,58
1/3/16,80
1/10/16,75
1/17/16,72
1/24/16,73
1/31/16,76
2/7/16,84
2/14/16,76
2/21/16,79
2/28/16,80
3/6/16,79
3/13/16,76
3/20/16,75
3/27/16,77
4/3/16,78
4/10/16,78
4/17/16,76
4/24/16,80
5/1/16,85
5/8/16,80
5/15/16,79
5/22/16,79
5/29/16,75
6/5/16,78
6/12/16,76
6/19/16,78
6/26/16,81
7/3/16,76
7/10/16,86
7/17/16,90
7/24/16,84
7/31/16,89
8/7/16,85
8/14/16,86
8/21/16,84
8/28/16,82
9/4/16,79
9/11/16,83
9/18/16,79
9/25/16,79
10/2/16,79
10/9/16,83
10/16/16,77
10/23/16,78
10/30/16,79
11/6/16,70
11/13/16,77
11/20/16,60
11/27/16,76
12/4/16,75
12/11/16,78
12/18/16,71
12/25/16,75
1/1/17,83
1/8/17,82
1/15/17,79
1/22/17,83
1/29/17,85
2/5/17,80
2/12/17,81
2/19/17,90
2/26/17,100
3/5/17,87
3/12/17,82
3/19/17,85
3/26/17,85
4/2/17,82
4/9/17,80
4/16/17,79
4/23/17,84
4/30/17,84
5/7/17,83
5/14/17,83
5/21/17,86
5/28/17,84
6/4/17,84
6/11/17,90
6/18/17,90
6/25/17,90
7/2/17,83
7/9/17,93
7/16/17,90
7/23/17,90
7/30/17,94
8/6/17,93
8/13/17,89
8/20/17,89
8/27/17,93
9/3/17,89
9/10/17,88
9/17/17,89
9/24/17,88
10/1/17,86
10/8/17,85
10/15/17,87
10/22/17,83
10/29/17,85
11/5/17,83
11/12/17,81
11/19/17,63
11/26/17,83
12/3/17,77
12/10/17,77
12/17/17,74
12/24/17,72
12/31/17,82
1/7/18,82
1/14/18,78
1/21/18,81
1/28/18,83
2/4/18,78
2/11/18,79
2/18/18,87
2/25/18,91
3/4/18,82
3/11/18,82
3/18/18,81
3/25/18,82
4/1/18,82
4/8/18,80
4/15/18,81
4/22/18,77
4/29/18,83
5/6/18,81
5/13/18,83
5/20/18,80
5/27/18,81
6/3/18,84
6/10/18,85
6/17/18,82
6/24/18,82
7/1/18,75
7/8/18,84
7/15/18,84
7/22/18,82
7/29/18,86
8/5/18,82
8/12/18,85
8/19/18,82
8/26/18,82
9/2/18,73
9/9/18,81
9/16/18,77
9/23/18,77
9/30/18,78
10/7/18,74
10/14/18,75
10/21/18,74
10/28/18,76
11/4/18,77
11/11/18,76
11/18/18,59
11/25/18,77
12/2/18,74
12/9/18,76
12/16/18,77
12/23/18,68
12/30/18,77
1/6/19,83
1/13/19,80
1/20/19,82
1/27/19,81
2/3/19,82
2/10/19,77
2/17/19,79
2/24/19,90
