"Period","sales","suvs","insurance"
"2009/01/04","50093","81","97"
"2009/02/01","50006","75","88"
"2009/03/01","57133","75","91"
"2009/04/05","55939","80","85"
"2009/05/03","57732","75","86"
"2009/06/07","59522","74","81"
"2009/07/05","62300","79","88"
"2009/08/02","66182","92","91"
"2009/09/06","52123","72","75"
"2009/10/04","54866","76","76"
"2009/11/01","50024","73","73"
"2009/12/06","55852","76","70"
"2010/01/03","49870","77","82"
"2010/02/07","51822","80","75"
"2010/03/07","67448","78","73"
"2010/04/04","64368","76","75"
"2010/05/02","65243","72","74"
"2010/06/06","64700","72","71"
"2010/07/04","67006","77","76"
"2010/08/01","66074","85","83"
"2010/09/05","61654","76","69"
"2010/10/03","61386","75","74"
"2010/11/07","58830","71","69"
"2010/12/05","64512","74","68"
"2011/01/02","57881","89","97"
"2011/02/06","62575","94","91"
"2011/03/06","75168","91","92"
"2011/04/03","69542","87","89"
"2011/05/01","69277","83","89"
"2011/06/05","70201","84","92"
"2011/07/03","69178","87","88"
"2011/08/07","71295","92","98"
"2011/09/04","66956","85","87"
"2011/10/02","65913","83","88"
"2011/11/06","63968","84","82"
"2011/12/04","70984","87","80"
"2012/01/01","62268","87","92"
"2012/02/05","70329","90","90"
"2012/03/04","81157","87","89"
"2012/04/01","73491","91","90"
"2012/05/06","79796","85","87"
"2012/06/03","75954","88","89"
"2012/07/01","75239","92","87"
"2012/08/05","80728","98","95"
"2012/09/02","71318","92","85"
"2012/10/07","72301","85","85"
"2012/11/04","69694","84","82"
"2012/12/02","74219","88","80"
"2013/01/06","69337","89","88"
"2013/02/03","73035","95","86"
"2013/03/03","83637","96","93"
"2013/04/07","81495","91","85"
"2013/05/05","86702","88","85"
"2013/06/02","82571","87","90"
"2013/07/07","86006","96","93"
"2013/08/04","88654","100","94"
"2013/09/01","75491","89","85"
"2013/10/06","78782","85","86"
"2013/11/03","75389","83","82"
"2013/12/01","78195","82","80"
