Period,Value
4-Jan,"61,146"
4-Feb,"65,230"
4-Mar,"78,662"
4-Apr,"73,252"
4-May,"77,491"
4-Jun,"75,355"
4-Jul,"78,837"
4-Aug,"76,377"
4-Sep,"73,580"
4-Oct,"68,745"
4-Nov,"65,221"
4-Dec,"72,476"
5-Jan,"61,936"
5-Feb,"66,945"
5-Mar,"80,609"
5-Apr,"77,669"
5-May,"78,327"
5-Jun,"85,378"
5-Jul,"87,710"
5-Aug,"81,220"
5-Sep,"69,412"
5-Oct,"63,594"
5-Nov,"64,845"
5-Dec,"70,662"
6-Jan,"65,737"
6-Feb,"67,452"
6-Mar,"82,754"
6-Apr,"76,180"
6-May,"81,517"
6-Jun,"80,599"
6-Jul,"80,889"
6-Aug,"82,997"
6-Sep,"73,000"
6-Oct,"70,365"
6-Nov,"67,512"
6-Dec,"70,995"
7-Jan,"66,585"
7-Feb,"69,373"
7-Mar,"83,833"
7-Apr,"77,265"
7-May,"85,183"
7-Jun,"79,824"
7-Jul,"79,097"
7-Aug,"84,633"
7-Sep,"73,470"
7-Oct,"74,461"
7-Nov,"67,344"
7-Dec,"69,071"
8-Jan,"65,843"
8-Feb,"69,030"
8-Mar,"76,614"
8-Apr,"73,736"
8-May,"76,127"
8-Jun,"69,428"
8-Jul,"69,677"
8-Aug,"69,676"
8-Sep,"60,489"
8-Oct,"55,026"
8-Nov,"47,866"
8-Dec,"52,353"
9-Jan,"50,093"
9-Feb,"50,006"
9-Mar,"57,133"
9-Apr,"55,939"
9-May,"57,732"
9-Jun,"59,522"
9-Jul,"62,300"
9-Aug,"66,182"
9-Sep,"52,123"
9-Oct,"54,866"
9-Nov,"50,024"
9-Dec,"55,852"
10-Jan,"49,870"
10-Feb,"51,822"
10-Mar,"67,448"
10-Apr,"64,368"
10-May,"65,243"
10-Jun,"64,700"
10-Jul,"67,006"
10-Aug,"66,074"
10-Sep,"61,654"
10-Oct,"61,386"
10-Nov,"58,830"
10-Dec,"64,512"
11-Jan,"57,881"
11-Feb,"62,575"
11-Mar,"75,168"
11-Apr,"69,542"
11-May,"69,277"
11-Jun,"70,201"
11-Jul,"69,178"
