Week,Geo: United States
3/2/14,65
3/9/14,65
3/16/14,65
3/23/14,64
3/30/14,65
4/6/14,62
4/13/14,65
4/20/14,62
4/27/14,63
5/4/14,60
5/11/14,61
5/18/14,60
5/25/14,57
6/1/14,59
6/8/14,62
6/15/14,61
6/22/14,62
6/29/14,61
7/6/14,63
7/13/14,65
7/20/14,66
7/27/14,68
8/3/14,65
8/10/14,67
8/17/14,66
8/24/14,65
8/31/14,61
9/7/14,59
9/14/14,62
9/21/14,60
9/28/14,60
10/5/14,60
10/12/14,58
10/19/14,60
10/26/14,59
11/2/14,59
11/9/14,58
11/16/14,59
11/23/14,55
11/30/14,57
12/7/14,58
12/14/14,57
12/21/14,56
12/28/14,58
1/4/15,58
1/11/15,62
1/18/15,59
1/25/15,62
2/1/15,65
2/8/15,63
2/15/15,63
2/22/15,62
3/1/15,63
3/8/15,62
3/15/15,60
3/22/15,58
3/29/15,58
4/5/15,61
4/12/15,59
4/19/15,59
4/26/15,59
5/3/15,56
5/10/15,58
5/17/15,58
5/24/15,57
5/31/15,59
6/7/15,59
6/14/15,58
6/21/15,63
6/28/15,59
7/5/15,61
7/12/15,62
7/19/15,63
7/26/15,63
8/2/15,62
8/9/15,63
8/16/15,64
8/23/15,61
8/30/15,59
9/6/15,57
9/13/15,57
9/20/15,57
9/27/15,56
10/4/15,57
10/11/15,55
10/18/15,57
10/25/15,55
11/1/15,56
11/8/15,53
11/15/15,54
11/22/15,51
11/29/15,54
12/6/15,54
12/13/15,56
12/20/15,55
12/27/15,64
1/3/16,76
1/10/16,79
1/17/16,80
1/24/16,82
1/31/16,81
2/7/16,81
2/14/16,83
2/21/16,88
2/28/16,80
3/6/16,80
3/13/16,82
3/20/16,84
3/27/16,82
4/3/16,78
4/10/16,79
4/17/16,77
4/24/16,78
5/1/16,81
5/8/16,79
5/15/16,82
5/22/16,82
5/29/16,79
6/5/16,80
6/12/16,82
6/19/16,82
6/26/16,87
7/3/16,83
7/10/16,85
7/17/16,87
7/24/16,88
7/31/16,86
8/7/16,85
8/14/16,87
8/21/16,86
8/28/16,87
9/4/16,84
9/11/16,84
9/18/16,83
9/25/16,80
10/2/16,80
10/9/16,80
10/16/16,81
10/23/16,82
10/30/16,76
11/6/16,73
11/13/16,80
11/20/16,78
11/27/16,81
12/4/16,81
12/11/16,82
12/18/16,82
12/25/16,86
1/1/17,79
1/8/17,85
1/15/17,86
1/22/17,83
1/29/17,82
2/5/17,81
2/12/17,85
2/19/17,87
2/26/17,91
3/5/17,86
3/12/17,85
3/19/17,88
3/26/17,86
4/2/17,83
4/9/17,88
4/16/17,83
4/23/17,86
4/30/17,85
5/7/17,81
5/14/17,83
5/21/17,87
5/28/17,88
6/4/17,84
6/11/17,90
6/18/17,96
6/25/17,90
7/2/17,89
7/9/17,91
7/16/17,96
7/23/17,95
7/30/17,97
8/6/17,97
8/13/17,93
8/20/17,88
8/27/17,92
9/3/17,87
9/10/17,84
9/17/17,89
9/24/17,87
10/1/17,84
10/8/17,87
10/15/17,87
10/22/17,83
10/29/17,83
11/5/17,84
11/12/17,86
11/19/17,80
11/26/17,85
12/3/17,86
12/10/17,85
12/17/17,89
12/24/17,92
12/31/17,84
1/7/18,85
1/14/18,86
1/21/18,86
1/28/18,84
2/4/18,85
2/11/18,86
2/18/18,93
2/25/18,93
3/4/18,90
3/11/18,89
3/18/18,90
3/25/18,94
4/1/18,89
4/8/18,88
4/15/18,90
4/22/18,91
4/29/18,90
5/6/18,86
5/13/18,88
5/20/18,89
5/27/18,87
6/3/18,87
6/10/18,91
6/17/18,90
6/24/18,90
7/1/18,86
7/8/18,93
7/15/18,95
7/22/18,96
7/29/18,100
8/5/18,96
8/12/18,97
8/19/18,94
8/26/18,90
9/2/18,86
9/9/18,83
9/16/18,84
9/23/18,81
9/30/18,83
10/7/18,80
10/14/18,81
10/21/18,80
10/28/18,81
11/4/18,83
11/11/18,84
11/18/18,80
11/25/18,84
12/2/18,87
12/9/18,87
12/16/18,90
12/23/18,87
12/30/18,87
1/6/19,81
1/13/19,89
1/20/19,87
1/27/19,85
2/3/19,90
2/10/19,90
2/17/19,91
2/24/19,90
