Category: Trucks & SUVs

Week,Geo: United States
2004-01-04,76
2004-01-11,79
2004-01-18,84
2004-01-25,81
2004-02-01,79
2004-02-08,83
2004-02-15,85
2004-02-22,80
2004-02-29,75
2004-03-07,86
2004-03-14,79
2004-03-21,82
2004-03-28,88
2004-04-04,80
2004-04-11,89
2004-04-18,75
2004-04-25,78
2004-05-02,82
2004-05-09,75
2004-05-16,82
2004-05-23,81
2004-05-30,80
2004-06-06,81
2004-06-13,87
2004-06-20,86
2004-06-27,83
2004-07-04,82
2004-07-11,88
2004-07-18,88
2004-07-25,83
2004-08-01,90
2004-08-08,91
2004-08-15,88
2004-08-22,80
2004-08-29,77
2004-09-05,74
2004-09-12,100
2004-09-19,91
2004-09-26,78
2004-10-03,79
2004-10-10,79
2004-10-17,75
2004-10-24,76
2004-10-31,75
2004-11-07,70
2004-11-14,73
2004-11-21,67
2004-11-28,71
2004-12-05,71
2004-12-12,76
2004-12-19,73
2004-12-26,90
2005-01-02,81
2005-01-09,78
2005-01-16,75
2005-01-23,82
2005-01-30,73
2005-02-06,85
2005-02-13,83
2005-02-20,85
2005-02-27,79
2005-03-06,74
2005-03-13,70
2005-03-20,85
2005-03-27,77
2005-04-03,72
2005-04-10,72
2005-04-17,77
2005-04-24,74
2005-05-01,77
2005-05-08,73
2005-05-15,73
2005-05-22,72
2005-05-29,76
2005-06-05,72
2005-06-12,74
2005-06-19,75
2005-06-26,84
2005-07-03,76
2005-07-10,78
2005-07-17,90
2005-07-24,82
2005-07-31,85
2005-08-07,78
2005-08-14,82
2005-08-21,76
2005-08-28,72
2005-09-04,66
2005-09-11,71
2005-09-18,65
2005-09-25,66
2005-10-02,68
2005-10-09,68
2005-10-16,66
2005-10-23,64
2005-10-30,68
2005-11-06,71
2005-11-13,65
2005-11-20,60
2005-11-27,63
2005-12-04,70
2005-12-11,64
2005-12-18,63
2005-12-25,73
2006-01-01,67
2006-01-08,70
2006-01-15,67
2006-01-22,74
2006-01-29,72
2006-02-05,67
2006-02-12,68
2006-02-19,67
2006-02-26,71
2006-03-05,71
2006-03-12,68
2006-03-19,70
2006-03-26,69
2006-04-02,66
2006-04-09,72
2006-04-16,74
2006-04-23,70
2006-04-30,76
2006-05-07,71
2006-05-14,65
2006-05-21,66
2006-05-28,65
2006-06-04,70
2006-06-11,71
2006-06-18,71
2006-06-25,74
2006-07-02,70
2006-07-09,72
2006-07-16,78
2006-07-23,79
2006-07-30,73
2006-08-06,78
2006-08-13,80
2006-08-20,79
2006-08-27,71
2006-09-03,65
2006-09-10,66
2006-09-17,69
2006-09-24,68
2006-10-01,65
2006-10-08,65
2006-10-15,64
2006-10-22,61
2006-10-29,64
2006-11-05,67
2006-11-12,65
2006-11-19,56
2006-11-26,65
2006-12-03,65
2006-12-10,60
2006-12-17,61
2006-12-24,66
2006-12-31,66
2007-01-07,62
2007-01-14,63
2007-01-21,66
2007-01-28,63
2007-02-04,67
2007-02-11,69
2007-02-18,70
2007-02-25,65
2007-03-04,67
2007-03-11,64
2007-03-18,66
2007-03-25,65
2007-04-01,69
2007-04-08,69
2007-04-15,65
2007-04-22,65
2007-04-29,66
2007-05-06,63
2007-05-13,64
2007-05-20,67
2007-05-27,60
2007-06-03,63
2007-06-10,63
2007-06-17,64
2007-06-24,63
2007-07-01,63
2007-07-08,71
2007-07-15,71
2007-07-22,70
2007-07-29,71
2007-08-05,75
2007-08-12,77
2007-08-19,70
2007-08-26,68
2007-09-02,65
2007-09-09,64
2007-09-16,67
2007-09-23,66
2007-09-30,65
2007-10-07,62
2007-10-14,64
2007-10-21,57
2007-10-28,61
2007-11-04,60
2007-11-11,57
2007-11-18,53
2007-11-25,58
2007-12-02,60
2007-12-09,58
2007-12-16,60
2007-12-23,58
2007-12-30,67
2008-01-06,66
2008-01-13,63
2008-01-20,61
2008-01-27,57
2008-02-03,66
2008-02-10,63
2008-02-17,64
2008-02-24,63
2008-03-02,62
2008-03-09,60
2008-03-16,60
2008-03-23,62
2008-03-30,60
2008-04-06,58
2008-04-13,58
2008-04-20,62
2008-04-27,61
2008-05-04,57
2008-05-11,61
2008-05-18,58
2008-05-25,54
2008-06-01,58
2008-06-08,54
2008-06-15,55
2008-06-22,57
2008-06-29,55
2008-07-06,56
2008-07-13,54
2008-07-20,61
2008-07-27,59
2008-08-03,59
2008-08-10,56
2008-08-17,56
2008-08-24,55
2008-08-31,51
2008-09-07,52
2008-09-14,53
2008-09-21,51
2008-09-28,51
2008-10-05,52
2008-10-12,52
2008-10-19,51
2008-10-26,49
2008-11-02,51
2008-11-09,51
2008-11-16,52
2008-11-23,48
2008-11-30,52
2008-12-07,52
2008-12-14,53
2008-12-21,51
2008-12-28,55
