Category: Auto Insurance

Week,Geo: United States
2014-03-02,78
2014-03-09,80
2014-03-16,76
2014-03-23,74
2014-03-30,77
2014-04-06,74
2014-04-13,73
2014-04-20,75
2014-04-27,75
2014-05-04,71
2014-05-11,70
2014-05-18,69
2014-05-25,68
2014-06-01,72
2014-06-08,69
2014-06-15,69
2014-06-22,69
2014-06-29,64
2014-07-06,72
2014-07-13,73
2014-07-20,73
2014-07-27,76
2014-08-03,74
2014-08-10,75
2014-08-17,73
2014-08-24,71
2014-08-31,66
2014-09-07,70
2014-09-14,68
2014-09-21,66
2014-09-28,70
2014-10-05,67
2014-10-12,64
2014-10-19,65
2014-10-26,63
2014-11-02,65
2014-11-09,63
2014-11-16,63
2014-11-23,49
2014-11-30,65
2014-12-07,61
2014-12-14,58
2014-12-21,48
2014-12-28,61
2015-01-04,67
2015-01-11,66
2015-01-18,62
2015-01-25,64
2015-02-01,69
2015-02-08,67
2015-02-15,65
2015-02-22,68
2015-03-01,67
2015-03-08,65
2015-03-15,62
2015-03-22,61
2015-03-29,64
2015-04-05,63
2015-04-12,62
2015-04-19,61
2015-04-26,64
2015-05-03,61
2015-05-10,61
2015-05-17,61
2015-05-24,57
2015-05-31,66
2015-06-07,62
2015-06-14,61
2015-06-21,64
2015-06-28,64
2015-07-05,68
2015-07-12,65
2015-07-19,65
2015-07-26,66
2015-08-02,68
2015-08-09,70
2015-08-16,66
2015-08-23,64
2015-08-30,64
2015-09-06,58
2015-09-13,60
2015-09-20,60
2015-09-27,60
2015-10-04,60
2015-10-11,57
2015-10-18,59
2015-10-25,59
2015-11-01,60
2015-11-08,56
2015-11-15,57
2015-11-22,44
2015-11-29,60
2015-12-06,56
2015-12-13,57
2015-12-20,45
2015-12-27,61
2016-01-03,81
2016-01-10,78
2016-01-17,73
2016-01-24,76
2016-01-31,80
2016-02-07,86
2016-02-14,81
2016-02-21,81
2016-02-28,83
2016-03-06,80
2016-03-13,76
2016-03-20,76
2016-03-27,79
2016-04-03,79
2016-04-10,80
2016-04-17,80
2016-04-24,84
2016-05-01,85
2016-05-08,82
2016-05-15,81
2016-05-22,80
2016-05-29,78
2016-06-05,80
2016-06-12,79
2016-06-19,79
2016-06-26,83
2016-07-03,79
2016-07-10,87
2016-07-17,90
2016-07-24,87
2016-07-31,89
2016-08-07,87
2016-08-14,86
2016-08-21,86
2016-08-28,85
2016-09-04,82
2016-09-11,86
2016-09-18,82
2016-09-25,83
2016-10-02,84
2016-10-09,84
2016-10-16,79
2016-10-23,78
2016-10-30,82
2016-11-06,73
2016-11-13,79
2016-11-20,63
2016-11-27,80
2016-12-04,79
2016-12-11,80
2016-12-18,73
2016-12-25,76
2017-01-01,86
2017-01-08,85
2017-01-15,82
2017-01-22,84
2017-01-29,86
2017-02-05,83
2017-02-12,84
2017-02-19,91
2017-02-26,100
2017-03-05,91
2017-03-12,86
2017-03-19,86
2017-03-26,87
2017-04-02,86
2017-04-09,85
2017-04-16,84
2017-04-23,85
2017-04-30,88
2017-05-07,85
2017-05-14,88
2017-05-21,89
2017-05-28,89
2017-06-04,88
2017-06-11,93
2017-06-18,90
2017-06-25,94
2017-07-02,86
2017-07-09,97
2017-07-16,92
2017-07-23,93
2017-07-30,98
2017-08-06,97
2017-08-13,92
2017-08-20,88
2017-08-27,95
2017-09-03,90
2017-09-10,92
2017-09-17,93
2017-09-24,88
2017-10-01,88
2017-10-08,88
2017-10-15,89
2017-10-22,85
2017-10-29,87
2017-11-05,84
2017-11-12,83
2017-11-19,63
2017-11-26,84
2017-12-03,80
2017-12-10,80
2017-12-17,76
2017-12-24,76
2017-12-31,84
2018-01-07,86
2018-01-14,80
2018-01-21,84
2018-01-28,87
2018-02-04,81
2018-02-11,79
2018-02-18,87
2018-02-25,93
2018-03-04,85
2018-03-11,83
2018-03-18,83
2018-03-25,84
2018-04-01,87
2018-04-08,85
2018-04-15,84
2018-04-22,83
2018-04-29,87
2018-05-06,82
2018-05-13,84
2018-05-20,84
2018-05-27,82
2018-06-03,87
2018-06-10,87
2018-06-17,84
2018-06-24,86
2018-07-01,79
2018-07-08,86
2018-07-15,88
2018-07-22,87
2018-07-29,90
2018-08-05,86
2018-08-12,86
2018-08-19,85
2018-08-26,84
2018-09-02,76
2018-09-09,83
2018-09-16,80
2018-09-23,78
2018-09-30,80
2018-10-07,77
2018-10-14,78
2018-10-21,75
2018-10-28,77
2018-11-04,77
2018-11-11,78
2018-11-18,62
2018-11-25,78
2018-12-02,78
2018-12-09,80
2018-12-16,76
2018-12-23,68
2018-12-30,78
2019-01-06,85
2019-01-13,84
2019-01-20,83
2019-01-27,86
2019-02-03,83
2019-02-10,80
2019-02-17,82
2019-02-24,94
